description,category
SANTANDER MORTGAGE,Rent/Mortgage
REVOLUT TRANSFER 5957,Transfers
SPOTIFY  P2919,Subscriptions
ebay o *5677,Shopping
SHELL PETROL EDINBURGH,Transport
EBAY O *55,Shopping
SALARY HELIOS CORP BACS,Salary/Income
pure gym london ref1127,Entertainment
UBER *EATS,Dining
Asda  Superstore  5226,Groceries
Trainline.Com Ticket,Transport
Tfl Travel Charge 9618,Transport
Ee Limited Mobile Ref94513,Utilities
ALDI STORES 3839,Groceries
DELIVEROO.CO.UK  5302,Dining
STANDING ORDER TO C TAYLOR,Transfers
Primark Leeds,Shopping
Greggs Plc 8288 Ref95450,Dining
Next Retail Ltd,Shopping
VIRGIN MEDIA O2,Utilities
Pure Gym Bristol,Entertainment
STAGECOACH BUS 4,Transport
ARGOS LTD LONDON,Shopping
FIRST BUS GLASGOW,Transport
primark manchester,Shopping
Microsoft*Xbox,Subscriptions
GREGGS PLC 3255,Dining
co-op food liverpool,Groceries
CURRYS PC,Shopping
REVOLUT TRANSFER 691 REF71842,Transfers
Next Retail,Shopping
ZARA.COM UK,Shopping
EVENTBRITE *EVE,Entertainment
EBAY  O  *6117,Shopping
MARKS&SP*NCER FOOD MANCHESTER,Groceries
Halifax Mortgage Pymt,Rent/Mortgage
Sainsburys S/Mkts Manche,Groceries
NATIONAL EXPRESS BR,Transport
Steamgames.Com 5317 Ref8186,Entertainment
john lewis gla#gow,Shopping
Apple.Com/Bill Icloud,Subscriptions
THAMES WATER 6582,Utilities
Revolut TranXfer 2399,Transfers
GITHUB INC REF39047,Subscriptions
Faster Paym,Transfers
AMAZON.CO.U,Shopping
DiXney  Plus  Ref79174,Subscriptions
Employer Bacs Bluewave Ltd,Salary/Income
PLAYSTATION NETWORK,Entertainment
sainsburys s/mkts glas,Groceries
TFL TRAVEL CHARGE,Transport
EBAY O *7157 REF1956,Shopping
P2P PAYMENT A PATEL,Transfers
Pret A Manger Leeds,Dining
ODEON CINEMAS 5728 REF90714,Entertainment
FIRST BUS BIRMINGHAM,Transport
Playstation Network,Entertainment
SAINSBURYS S/MKTS L,Groceries
TESCO STORES 5019 GLASGOW,Groceries
ARGOS LTD GLAS,Shopping
CO-OP FOOD LONDON REF29934,Groceries
TRAINLINE.COM TICKET REF26477,Transport
NANDXS LIVERPOOL,Dining
WAITROSE GLASGOW,Groceries
faster pay,Transfers
APPLE.COM/B*LL  ICLOUD  REF22267,Subscriptions
BRITISH GAS ENERG,Utilities
Scottish Power,Utilities
VODAFONE L#D,Utilities
Faster Payments Out J Smith,Transfers
HOMELET  REN#  GUARA  REF98702,Rent/Mortgage
PURE GYM BRISTOL REF71191,Entertainment
tesco stores 7232 liverpool,Groceries
DOMINOS PIZZA BRISTOL REF23021,Dining
BP EDINBURGH FUEL,Transport
Currys Pc Wor,Shopping
dropbox*ib,Subscriptions
Steamgames.Co,Entertainment
GREGGS PLC 8,Dining
Bolt.Eu/TrXp 4635,Transport
STANDING ORDER TO  REF86484,Transfers
DOMINOS PIZZA BIRMINGHAM,Dining
EVENTBRITE *EVENT,Entertainment
APPLE.COM/BILL,Shopping
Morrisons London 5302,Groceries
morrisons  london  7277  ref97796,Groceries
HOMELET RENT GUARANT,Rent/Mortgage
Edf Energy Ref84813,Utilities
AMZN MKTP UK,Shopping
DVLA  TAX  7483,Transport
WAGAMAMA GLASGOW,Dining
STARBUCKS LIVERPOOL REF40862,Dining
RENT PAYMENT S BROWN,Rent/Mortgage
LIDL GB BRISTOL,Groceries
JOHN *EWIS LEEDS REF29885,Shopping
od*on cinemas 91,Entertainment
AXda Superstore 4614,Groceries
NATNORTH MORT,Rent/Mortgage
DVLA TAX 38,Transport
Property Mgmt Ltd Rent,Rent/Mortgage
BANK TRANSFER L JONES REF81828,Transfers
CURRYS PC WOR REX44596,Shopping
AMAZON.CO.U,Shopping
AMZN#MKTP UK,Shopping
RENT PAYMENT REF94165,Rent/Mortgage
Bank Trans,Transfers
P2P PAYMENT C TAYLOR,Transfers
Dvla Tax 8155,Transport
Sainsburys S*Mkts Birmingham,Groceries
RENT PAYMENT A PATEL,Rent/Mortgage
ALDI STORES 2416,Groceries
GREGGS PLC 7854,Dining
JUST EAT BRISTOL REF43514,Dining
PLAYSTATION NETWORK,Entertainment
SANTANDER MORTGAGE,Rent/Mortgage
ZARA.COM U,Shopping
Tfl Travel Charge 3709 Ref80804,Transport
Asda Superstore 6484,Groceries
SAINSBURYS S/MKTS EDINBURGH REF5415,Groceries
BP LONDON FU,Transport
UBER *EATS HELP.UBER.COM,Dining
AMZN MKTP UK,Shopping
currys pc world,Shopping
Uber *Eats Help.Uber.Com,Dining
REVOLUT TRANSFER 936,Transfers
JUST EAT BIRMINGHAM REF31374,Dining
trainline.com ticket,Transport
argos ltd bristol,Shopping
Apple.Com/Bill Icloud,Subscriptions
Spotify  P5195  Ref22068,Subscriptions
DOMINOS PIZZA BRISTOL,Dining
SHELL PETROL LONDON,Transport
Disney Plu,Subscriptions
Next Retail Ltd,Shopping
Amazon  Prim  Ref50422,Subscriptions
Faster Payments Out L Jones Ref66809,Transfers
Nytimes Digital Ref66406,Subscriptions
SANTANDER MORTGAGE,Rent/Mortgage
OCTOPUS ENERGY LTD,Utilities
odeon cinemas 7447,Entertainment
HALIFAX MORTGAGE PYMT REF46936,Rent/Mortgage
FASTER PAYMENTS,Transfers
TESCO STORES 5445 LIVERPOOL REF93921,Groceries
UBER *TRIP HELP.UB,Transport
Trainl*ne.Com Ticket,Transport
REVOLUT TRANSFER 7298,Transfers
BOLT.EU/TRIP  9010,Transport
EE LIMITED MOBILE,Utilities
VIRGIN MEDIA O2 REF11723,Utilities
AMAZON.CO.UK *6693 REF45322,Shopping
STANDING ORDER TO A PATEL,Transfers
PROPERTY  MGMT  LTD  RENT,Rent/Mortgage
PRET A MANGER MANCHESTER,Dining
THE GUARDIAN D,Subscriptions
The Guardian Digital,Subscriptions
landlord rent birmingha ref27561,Rent/Mortgage
REVOLUT TRANSFER 5433,Transfers
british gas energy,Utilities
SHELL  PETROL  EDINBURGH,Transport
PENSION PAYMENT PIVOT IO,Salary/Income
amazon.co.uk  *6288,Shopping
Dvla Tax 5990 Ref28656,Transport
STEAMGAMES.COM 9599 REF56659,Entertainment
MICROSOFT**BOX,Subscriptions
DiXney  Plu,Subscriptions
THE GUARDIAN DIGITAL,Subscriptions
SANTANDER MORTGAGE,Rent/Mortgage
TRANSFER TO M KHAN,Transfers
FASTER PAYMENTS OUT S BROWN REF63853,Transfers
ARGOS LTD #ONDON REF24426,Shopping
PUXE GYM LONDON,Entertainment
MICROSOFT*XBOX,Subscriptions
ASDA SUPERSTORE 6207,Groceries
BOLT.EU/TRIP 6797,Transport
Tesco Stores 9245 Bristol,Groceries
DISNEY PLUS,Subscriptions
AMAZON PRIME 8650 REF15936,Subscriptions
MCDONALDX LIVE,Dining
AMAZON PRIME 4551,Subscriptions
zara.com u,Shopping
Odeon Cine,Entertainment
Wa#amama Glasgow,Dining
Rightmove  Rent  Ref  Ref37595,Rent/Mortgage
Odeon Cinemas 8387,Entertainment
UBER *TRIP HELP.UBER.COM,Transport
LIDL GB BRISTOL,Groceries
Primark Leeds Ref79112,Shopping
FIRST BUS LONDON,Transport
ASDA SUPERSTORE 9516,Groceries
FP TO R SINGH REF 2380,Transfers
COSTA COFFEE 8622,Dining
*OHN LEWIS BIRMINGHAM REF18589,Shopping
DROPBOX*IB,Subscriptions
EMPLOYER BACS NORTHSTAR PLC,Salary/Income
Microsoft*Xbox Ref7354,Subscriptions
EMPLOYER BAC REF89764,Salary/Income
BANK TRANSFE,Transfers
costa coffee 3213,Dining
Morrisons  Leeds  4067,Groceries
Bank Transfer R Singh,Transfers
Bolt.Eu/Trip 4,Transport
ALDI STORES REF42517,Groceries
COUNCIL TAX EDINBURGH,Utilities
greggs plc 5357,Dining
Pure Gym Leeds,Entertainment
Ad*be Syst,Subscriptions
FASTER PAYMENT FROM HELIOS CORP SALARY REF72604,Salary/Income
EVENTBRITE *EV,Entertainment
OCTOPXS ENERGY LTD,Utilities
ASDA SUPERSTORE 837,Groceries
Currys Pc Worl,Shopping
EDF #NERGY,Utilities
Natnorth Mortgage 8152 Ref69505,Rent/Mortgage
STANDING ORDER TO J SMITH,Transfers
HALIFAX MORTGAGE PY REF36656,Rent/Mortgage
NANDOS LIVERPOOL REF90886,Dining
SAINSBURYS  S/MKTS  BIRMINGHAM,Groceries
FASTER PAYMENTS OUT R SING,Transfers
BP BIRMINGHAM FUEL,Transport
Pension Payment Helios Corp Ref93215,Salary/Income
WAITROSE LONDON,Groceries
UBER *TRIP HELP.UBER.COM,Transport
RIGHTMOVE RENT R,Rent/Mortgage
PLAYSTATION,Entertainment
Starbucks Edinburgh,Dining
OCTOPUS ENERGY LTD,Utilities
BOLT.EU/TRIP 532 REF27833,Transport
IKEA  LTD  LIVERPOOL,Shopping
FP TO R SINGH REF 6788,Transfers
RIGHTMOVE#RENT REF 4171,Rent/Mortgage
CO-OP FOOD BRISTOL,Groceries
WAGAMAMA GLASGOW REF40105,Dining
ADOBE SYSTEM,Subscriptions
EDF ENERGY,Utilities
THE GUARDIAN DIG,Subscriptions
CO-OP FOOD EDINBURG,Groceries
UBER *EATS HELP.UBER.COM,Dining
MCDONALDS BIRMINGHAM,Dining
VODAFONE LTD REF70853,Utilities
Transfer  To  L  Jones,Transfers
DROPBOX*IB  REF20247,Subscriptions
LIDL GB LEEDS REF22667,Groceries
SAINSBURYS  S/MKTS  EDINBURGH,Groceries
DOMINOS PIZZA EDINBURGH,Dining
FASTER PAYMENT FROM PIVOT IO #ALARY REF33712,Salary/Income
AMAZON.CO.UK *481,Shopping
NEXT RETAIL LTD REF1418,Shopping
SANTANDER MORTGAGE,Rent/Mortgage
Primark London,Shopping
Revolut Transfer 76,Transfers
TFL TRAVEL CHARGE 3361,Transport
STANDING ORDER TO C TAYLOR,Transfers
APPLE.COM/BILL,Shopping
EVENTBRITE *EVENT,Entertainment
Ebay  O  *4022  Ref53244,Shopping
FASTER PAYMENT FROM NORTHSTAR PLC SALARY,Salary/Income
Next Retail Ltd Ref18583,Shopping
STARBUCKS GLASGOW,Dining
amazon.co.uk *1383,Shopping
Tfl Travel *harge 3,Transport
BRITISH GAS ENERGY,Utilities
ZARA.COM UK,Shopping
NEXT RETAIL L,Shopping
TFL  TRAVEL  CHARGE  9308  REF46748,Transport
P2P PAYMENT S BROWN,Transfers
MORRISONS LIVERPOOL 5114 REF57800,Groceries
amazon prime 4942 ref36130,Subscriptions
Amazon Prime 4427,Subscriptions
ALDI STORE,Groceries
Uber *Trip Help.Uber.Com,Transport
Tesc* Stores 6547 L,Groceries
Ocado Ltd Ref 2252,Groceries
MORRISONS LIVERPOOL 1053,Groceries
EBAY O *19,Shopping
disney  plu,Subscriptions
Halifax Mortgage Pymt,Rent/Mortgage
apple.com/bill icloud,Subscriptions
REVOLUT  TRANSFER  6348  REF88088,Transfers
THE GYM GROUP 2378,Entertainment
Vodafone Ltd,Utilities
APPLE.COM/BILL ICLOUD,Subscriptions
Sainsburys  S/Mkts  Manchester,Groceries
Lidl Gb Ed,Groceries
Octopus  Ener  Ref22807,Utilities
LIDL GB GLA#GOW,Groceries
JUST EAT L,Dining
Wagamama Bi#mingham,Dining
LIDL GB BIRMINGHAM,Groceries
santander m,Rent/Mortgage
Council  Tax  Bris,Utilities
ARGOS LTD BIRMINGHAM REF87204,Shopping
WAITROSE LONDON,Groceries
CinewXrld L,Entertainment
EBAY O *186 REF6758,Shopping
Standing Order To J Smith,Transfers
BP LONDON FUEL,Transport
VODAFONE LTD,Utilities
Standing Order To R Singh,Transfers
PRIMARK  GLASGOW,Shopping
Dvla Tax 4731,Transport
Lidl Gb Bris,Groceries
Argos Ltd Bristol,Shopping
john lewis birmingham,Shopping
EBAY O *5042,Shopping
DVLA TAX 3466,Transport
FASTER PAYMENTS OUT R SINGH,Transfers
Revolut Transfer 4924 Ref10842,Transfers
Cineworld London Ref25390,Entertainment
homelet rent guarantee,Rent/Mortgage
PRET A MANGER MANCHESTER,Dining
T#sco Stores 681 Leeds,Groceries
Ebay O *180,Shopping
FP TO J SMITH,Transfers
BANK TRANSFER M KHAN,Transfers
shell petrol birmingham,Transport
bp manchester fuel,Transport
Spotify P9062,Subscriptions
ADOBE SYSTEM,Subscriptions
co-op food glasgow,Groceries
APPLE.COX/BILL,Shopping
RENT PAYMEN,Rent/Mortgage
STANDING ORDER TO R SINGH,Transfers
DOMINOS PIZZA EDINBURGH,Dining
BOLT.EU/TRIP 1331,Transport
Co-Op  Food  Manchester,Groceries
NYTIMES DIGITAL,Subscriptions
EDF ENERGY REF1048,Utilities
Lidl  Gb  Manch,Groceries
TRANSFER TO S BROWN,Transfers
morr#sons le,Groceries
NATNORTH MORTGAGE 4765,Rent/Mortgage
SALARY  BLUEWAVE  LTD  BACS,Salary/Income
Transfer To S Brown Ref32472,Transfers
STARBUCKS  GLAS  REF38122,Dining
Uber  *Trip  Help.Uber.Com,Transport
AMAZON.CO.UK *8091,Shopping
WAGAMAMA BIRMIXGHAM REF2715,Dining
NATNORTH XORTGAGE 4284,Rent/Mortgage
Vodafone Ltd,Utilities
Ee Limited Mobile,Utilities
CO-OP FOOD LONDON,Groceries
COUNCIL TAX LIVERPOOL REF3201,Utilities
Transfer To L Jones,Transfers
Playstation Network,Entertainment
Bank Transfer S Brown,Transfers
EMPLOYER BACS HELIOS CORP,Salary/Income
THE GYM GR,Entertainment
PRET A MANGER GLASGOW,Dining
Marks&Spencer Food Leeds,Groceries
Apple.Com/Bill Icloud,Subscriptions
COUNCIL TAX LEEDS,Utilities
TICKETMASTER UK,Entertainment
Property Mgmt Ltd Rent,Rent/Mortgage
wagamama bristol,Dining
Ebay O *227,Shopping
NYTIMES  DIGITAL,Subscriptions
DROPBOX*IB REF58887,Subscriptions
pure gym #anchester,Entertainment
BOLT.EU/TRIP 6612,Transport
JOHN LEWIS EDINBURGH,Shopping
thames water 558,Utilities
ASDA SUPERSTORE 479,Groceries
National  Express  Leeds,Transport
COUNC#L TAX BIRMINGHAM,Utilities
VODAFONE LTD REF40408,Utilities
MARKS&SPENCER FOOD LIVERPOOL,Groceries
MCDONALDS EDINBURGH REF77349,Dining
CURRYS PC WORLD,Shopping
marks&spencer food bristol,Groceries
faster payments out c,Transfers
HALIFAX MORTGAGE PYMT,Rent/Mortgage
PENSION PAYMENT HELIOS CORP,Salary/Income
SPOTIFY P323 REF92046,Subscriptions
P2P PAYMENT R,Transfers
ee limited mobile,Utilities
Virgin Media O2,Utilities
Sainsburys S/Mkts Leeds,Groceries
HMRC  TAX  CREDIT,Salary/Income
PENSION PAYMENT ACME L,Salary/Income
Employer Bacs Bluewave Ltd,Salary/Income
apple.com/bill,Shopping
P2P PAYMENT M KHAN,Transfers
BANK TRANSFER J SMITH,Transfers
Halifax Mortgag,Rent/Mortgage
UBER *EATS,Dining
CINEWORLD GLASGOW,Entertainment
faster payments out r singh,Transfers
Pension Payment Acme Ltd,Salary/Income
STAGECOACH BUS 121,Transport
Shell Petrol Bristol RefX1254,Transport
github inc,Subscriptions
ADOBE SYSTEMS,Subscriptions
ALDI STORES 8186,Groceries
PROPERTY MGMT LTD RENT,Rent/Mortgage
RIGHTMOVE RENX REF 2153 REF63935,Rent/Mortgage
EDF ENERGY,Utilities
nandos manchester,Dining
AMAZON PRIME 816,Subscriptions
Morrisons London 2502,Groceries
British Gas Energy Ref63028,Utilities
NETFLIX.COM,Subscriptions
BRITISH  GAS  ENERGY,Utilities
LANDLORD RENT ED*NBURGH,Rent/Mortgage
ODEON CINEMAS 4531,Entertainment
ticketmasterXuk ref40775,Entertainment
Github Inc,Subscriptions
COSTA COFFEE 7796,Dining
EDF ENERGY,Utilities
Faster Payment From Helios Corp Salary,Salary/Income
SAINSBURYS S/MKTS EDINBURGH,Groceries
Virgin Media O2,Utilities
AMAZON.CO.UK *6237,Shopping
OCADO LTD REF 7852,Groceries
APPLE.COM/BILL ICLOUD REF4731,Subscriptions
APPLE.COM/BILL ICLOUD,Subscriptions
NEXT RETAIL LTD,Shopping
Currys Pc Wo,Shopping
PROPERTY MGMT LTD RENT,Rent/Mortgage
Bp London Fuel,Transport
AMAZON PRIME 7984,Subscriptions
RENT PAYMENT C TAYLOR,Rent/Mortgage
ADOBE SYSTEMS REF96039,Subscriptions
THE GUARDIAN DIGITAL,Subscriptions
Pret A Manger London,Dining
VIRGIN MEDIA O2,Utilities
THAMES WATER 5771,Utilities
amazon prime 4039,Subscriptions
BOLT.EU/TRIP 7,Transport
Standing  Order  To  S  Brown,Transfers
TRAINLINE.COM TICK,Transport
Virgin Media O2 Ref75263,Utilities
PLAYSTATION  NETWORK,Entertainment
TRAINLINE.COM TICKET REF24808,Transport
AMAZON  PRIME  4795,Subscriptions
Waitrose Lo Ref15483,Groceries
STANXING ORDER TO A PATEL,Transfers
HOMELET RENT GUARANTEE,Rent/Mortgage
halifax mort,Rent/Mortgage
AMAZON PRIME 5021 REF36011,Subscriptions
Asda Superstore 1752 Ref10697,Groceries
the gym group 6457,Entertainment
Sainsburys S/Mkts Liverpool,Groceries
Waitrose  London,Groceries
Dwp Universal Credit,Salary/Income
CURRYS PC WORLD,Shopping
TRAINLINE.COM TICKET,Transport
AMAZON.CO.UK  *2875,Shopping
Spotify P500 Ref52640,Subscriptions
Odeon Cinemas 6785,Entertainment
EDF ENERGY,Utilities
Microsoft*Xbox,Subscriptions
British  Gas  Ref14678,Utilities
NANDOS  GLA,Dining
Amazon Prime  Ref4509,Subscriptions
UBER  *TRIP  HELP#UBER.COM,Transport
LIDL GB MANCHEST,Groceries
Standing Order To S Brown Ref19800,Transfers
MORRISONS L,Groceries
THE GYM GROUP 3543 REF70115,Entertainment
SANTANDER MORTGAGE,Rent/Mortgage
Ebay O *1660,Shopping
CO-OP FOOD EDINBURGH,Groceries
Homelet Ren,Rent/Mortgage
SAINSBURYS S/MKTS LEEDS,Groceries
UBER *EATS HELP REF28826,Dining
bank transfer m khan ref9745,Transfers
SAINSBURYS S/MKTS BRISTOL,Groceries
PENSION  PA  REF9088,Salary/Income
STANDING ORDER TO R SINGH,Transfers
salary acme ltd bac,Salary/Income
AMZN MKTP UK,Shopping
MORRISONS GLASGOW 8598,Groceries
THAMES  WATER  4162  REFX7654,Utilities
DWP  UNIVERSA,Salary/Income
SALARY HELIOS,Salary/Income
DELIVEROO.CO.UK  2575,Dining
AMAZON PRIME 7198,Subscriptions
DWP UNIVERSA# CREDIT,Salary/Income
UBER *TRIP HELP.UBER.COM,Transport
National Express London Ref32638,Transport
The Gym Group 7487 Ref90509,Entertainment
Thames Wate Ref52750,Utilities
DVLA TAX 2873,Transport
NYTIMES DIGITAL,Subscriptions
HMRC TAX CREDIT REF97114,Salary/Income
Ikea Ltd Birmingham,Shopping
UBER *EATS HELP.UBER.COM,Dining
EBAY # *7023,Shopping
MCDONALDS LIVERPOOL,Dining
Revolut Transfer 1997 Ref60008,Transfers
REVOLUT TRANSFER 7322,Transfers
edf energy,Utilities
scottish power,Utilities
JOHN LEWIS BIRMIN,Shopping
APPLE.COM/BILL ICLOUD,Subscriptions
EDF ENERGY,Utilities
Lidl Gb Glasgow,Groceries
Council Tax Leeds Ref15675,Utilities
THAMES  WATER  5072  REF65250,Utilities
TESCO STORES 5304 LIVERPOOL REF70227,Groceries
Homelet Rent Guarantee,Rent/Mortgage
PAYROLL PIVOT IO,Salary/Income
Standing Order To S Br*wn,Transfers
Faster Payment From Pivot Io Salary,Salary/Income
TESCO STORES 1276 LIVERPOOL,Groceries
ALDI STORES 6037,Groceries
Bp Edinburgh Fuel,Transport
ARGOS LTD GLASGOW,Shopping
DWP  UNIVERSAL  CREDIT,Salary/Income
TESCO STORES 1821 LONDON,Groceries
Nytimes Digital Ref2145,Subscriptions
Greggs Plc 256,Dining
APPLE.COM/BILL,Shopping
BANK TRANSFER L JONES,Transfers
WAGAMAMA LEEDS,Dining
Next Retail Ltd,Shopping
Bp Leeds Fuel,Transport
STANDING ORD REF76824,Transfers
DELIVEROO.CO.UK 1101,Dining
Asda Superstore 9977,Groceries
Bp Glasgow,Transport
OXTOPUS ENERGY LTD,Utilities
First Bus Birmingham,Transport
ALDI STORES 3917,Groceries
Ocado Ltd Ref 6668,Groceries
Salary Helios Corp Bacs,Salary/Income
THE GUARDIAN DIGITAL,Subscriptions
TRAINLINE.COM TICKET,Transport
Employer Bacs Pivot Io,Salary/Income
Santander Mortgage,Rent/Mortgage
Netflix#Com,Subscriptions
PURE GYM GLASGOW,Entertainment
Bp Leeds Fuel,Transport
MARKS&SPENCE# FOOD MANC,Groceries
Bt Group Plc,Utilities
THE GYM GROUP 778,Entertainment
HMRC  TAX  CREDI,Salary/Income
ZARA.COM  UK,Shopping
THE  GUARDIAN  DIGI  REF72205,Subscriptions
AMZN MKTP UK,Shopping
Thames Water 2289,Utilities
Shell Petro,Transport
ZARA.COM UK,Shopping
wagamama m,Dining
Greggs Plc 3138,Dining
marks&spencer food birmingham,Groceries
ADOBE SYSTEMS,Subscriptions
FASTER  PAYMENTS  OUX  S  BROWN,Transfers
NETFLIX.COM,Subscriptions
Rent Paymen Ref73187,Rent/Mortgage
PURE  GYM  LIVERPOOL,Entertainment
Amzn Mktp Uk,Shopping
EBAY O *41 REF21027,Shopping
Halifax Mortgage Pymt,Rent/Mortgage
RENT PAYMENT A PATEL,Rent/Mortgage
EDF ENERGY REF59193,Utilities
COSTA COFFEE 882,Dining
FP TO S BROWN R,Transfers
amzn mktp uk ref92061,Shopping
First Bus Glasgow,Transport
BOLT.EU/TRI REF55892,Transport
EMPLOYER BACS BLUEWAVE LTD REF25824,Salary/Income
PENSION  PAYMENT  ACME  LTD  REF54932,Salary/Income
IKEA LTD LEEDS,Shopping
Dwp  Universal  Credit,Salary/Income
STARBUCKS LEEDS REF89781,Dining
bank  transfer  j  smith,Transfers
SCOTTISH POWER,Utilities
Playstation Network,Entertainment
Bank Transfer Ref63970,Transfers
DVLA TAX 166,Transport
CINEWORLD EDINBU,Entertainment
PARKINGEYE LTD LONDON,Transport
stagecoach bus 2188,Transport
CINEWORLD EDINBURG,Entertainment
MCDONALDS LONDON,Dining
RIGHTMOVE R,Rent/Mortgage
COSTA  COFFEE  5424,Dining
BANK TRANSFER M KHAN,Transfers
COUNCIL TAX BIRMINGHAM,Utilities
STAGECOACH BUS 477,Transport
IKEA LTD BRISTOL,Shopping
CURRYS PC WORLD,Shopping
EDF ENERGY,Utilities
FIRST BUS MANCHESTER,Transport
MARKS&SPENCER FOOD EDINBURGH,Groceries
DWP UNIVERSAL CREDIT,Salary/Income
RENT PAYMENT S BROWN REF10635,Rent/Mortgage
TICKETMASTER UK REF42114,Entertainment
Hmrc Tax Credit Ref27503,Salary/Income
GREGGS PLC 5582 REF20727,Dining
AMAZON PRIME REF4462,Subscriptions
CO-OP FOOD MANCHESTER,Groceries
ARGOS LTD MANCHESTER,Shopping
PROPERTY MGMT LTD RENT,Rent/Mortgage
RIGHTMOVE RENT R,Rent/Mortgage
MCDONALDS BRISTO REF41354,Dining
MORRISONS MANCHESTER 3931,Groceries
REVOLUT TRANSFER 1715 REF58514,Transfers
SPOTIFY P1316,Subscriptions
TRANSFER TO L JONES,Transfers
Aldi  Stores  55,Groceries
FASTER PAYMENT FROM PIVOT IO SALARY,Salary/Income
Starbucks Bristol Ref88065,Dining
ARGOS LTD LIVER,Shopping
COSTA COFFEE 560 REF27290,Dining
John Lewis Bristol,Shopping
Tesco Stores 47,Groceries
SPO*IFY P9375 REF51491,Subscriptions
property mgmt ltd*rent,Rent/Mortgage
ARGOS LTD LI,Shopping
National Express Manchester,Transport
PRET A MANGER LONDON,Dining
Standing Order To R Singh Ref82888,Transfers
FASTER PAYMENTS OUT A PATEL,Transfers
GREGGS PLC 5552,Dining
Revolut Transfer 2842 Ref56101,Transfers
Ocado Ltd Ref 779,Groceries
STARBUCKS EDINBURGH,Dining
WAGAMAMA MANCHESTER REF84512,Dining
DELIVEROO.CO.UK 40,Dining
John Lewis *ir,Shopping
ODEON CINEM,Entertainment
SAINSBURYS S/MKTS BRISTOL,Groceries
VODAFONE LTD,Utilities
Argos Ltd Birmingham,Shopping
Rightmove#Re,Rent/Mortgage
steamgames.c ref35757,Entertainment
THE  GUARDIAN  DIGITAL,Subscriptions
Currys Pc,Shopping
SAINSBURYS S/MKTS GLASGOW,Groceries
T*sco Stores 7814 Bristol,Groceries
PURE GYM EDINBURGH,Entertainment
RIGHTMOVE RENT REF 3571,Rent/Mortgage
APPLE.COM/BILL,Shopping
bt group plc ref347X2,Utilities
LIDL GB GLASGOW,Groceries
DROPBOX*IB,Subscriptions
Odeon Cine,Entertainment
DWP UNIVERSAL CREDI,Salary/Income
john  lewis  leeds,Shopping
FASTER PAYMENTS OUT J SMITH REF52907,Transfers
FASTER PAY,Transfers
National  Express  Manchester  Ref76172,Transport
tfl travel charge 301,Transport
TRANSFER TO S BROWN,Transfers
LANDLORD RENT BIRMINGHAM,Rent/Mortgage
EVENTBRITE *EV,Entertainment
DWP UNIVERSAL CREDIT,Salary/Income
Co-Op Food Manchester Ref73485,Groceries
ASDA  SUPERSTORE  249*  REF93597,Groceries
EDF ENERGY REF10724,Utilities
JUST EAT GLASGOW,Dining
JOHN LEWIS LONDON,Shopping
Dropbox*Ib Ref28269,Subscriptions
AMAZON.CO.UK *8027,Shopping
STAGECOACH BUS 3,Transport
PENSION PAYMENT HELIOS CORP,Salary/Income
TESCO STORES 8000 GLASGOW,Groceries
FP TO J SMI REF84392,Transfers
AMAZON.CO.UK *9193,Shopping
Lidl Gb Le,Groceries
PRET A MANGER GLASGOW REF3706,Dining
PAYROLL  ACME  LTD  REF26700,Salary/Income
revolut  transfer  4961,Transfers
Marks&Spen,Groceries
Trainline.Com Ticke Ref80584,Transport
REVOLUT TRANSFER 3977,Transfers
MICROSOFT*XBOX,Subscriptions
EVENTBRITE  *,Entertainment
PRET A MANGER LIVERPO,Dining
Primark London Ref58794,Shopping
morrisons london 2094,Groceries
Odeon Cinemas 2890,Entertainment
DVLA TAX 39,Transport
THAMES WATER 6198 REF26970,Utilities
UBER *TRIP HELP.UBER.COM,Transport
ODEON CINEMAS 6649 REF5513,Entertainment
Bp Birmingham Fuel Ref13268,Transport
Adobe Systems,Subscriptions
Tfl Travel Charge 2669,Transport
MorrisoXs Liver,Groceries
Scottish Power Ref27550,Utilities
RIGHTMOVE RENT REF 3931,Rent/Mortgage
Argos Ltd Bristol,Shopping
CURRYS PC WORLD,Shopping
Ocado Ltd Ref 4233 Ref20757,Groceries
ODEON  CINEMAS  61  REF40620,Entertainment
EMPLOYER BACS ACME LTD,Salary/Income
Transfer To J Sm Ref18649,Transfers
thames water 4481,Utilities
STANDING ORDER TO A PATEL REF38796,Transfers
AMAZON.CO.UK *5557,Shopping
FASTER XAYMENTS,Transfers
TFL TRAVEL CHAR#E 1310 REF98739,Transport
co-op food manchester ref66833,Groceries
Nandos Lon Ref77535,Dining
John Lewis Glas,Shopping
trainline.com ticket,Transport
APPLE.COM/BILL,Shopping
CURRYS PC WORLD,Shopping
ZARA.COM UK REF53707,Shopping
THAMES WATER 6295,Utilities
GREGGS PLC 3521,Dining
BP  GLASGOW  FUEL,Transport
TRAINLIN*.COM TICKET,Transport
bp glasgow f#el ref3574,Transport
JOHN LEWIS LIVERPOOL,Shopping
revolut transfer 2632,Transfers
DOMINOS PIZZA BRISTO REF23896,Dining
P2P PAYMENT S,Transfers
Employer Bacs Northstar Plc,Salary/Income
DISNEY PLUS,Subscriptions
WAITROSE LEEDS,Groceries
COSTA COFFEE 5843,Dining
CINEWORLD GLASGOW REF90088,Entertainment
SHELL PETROL LEEDS,Transport
